,COMB.N0000.LK,COMB.N0000.LK,COMB.N0000.LK,COMB.N0000.LK,COMB.N0000.LK,COMB.N0000.LK,HNB.N0000.LK,HNB.N0000.LK,HNB.N0000.LK,HNB.N0000.LK,HNB.N0000.LK,HNB.N0000.LK,NDB.N0000.LK,NDB.N0000.LK,NDB.N0000.LK,NDB.N0000.LK,NDB.N0000.LK,NDB.N0000.LK,DFCC.N0000.LK,DFCC.N0000.LK,DFCC.N0000.LK,DFCC.N0000.LK,DFCC.N0000.LK,DFCC.N0000.LK,SAMP.N0000.LK,SAMP.N0000.LK,SAMP.N0000.LK,SAMP.N0000.LK,SAMP.N0000.LK,SAMP.N0000.LK,BFLN.N0000.LK,BFLN.N0000.LK,BFLN.N0000.LK,BFLN.N0000.LK,BFLN.N0000.LK,BFLN.N0000.LK
2024-06-18,103.57,103.97,96.15,100.3,100.3,167897,113.81,114.64,109.2,110.68,110.68,193274,48.05,48.55,47.3,48.01,48.01,144717,70.31,73.09,69.87,71.87,71.87,51780,44.41,45.31,43.4,44.26,44.26,86562,62.05,66.06,60.57,65.05,65.05,56167
2024-06-19,100.16,103.4,94.3,95.81,95.81,30751,111.01,111.61,109.16,110.86,110.86,79331,47.98,48.17,47.59,47.92,47.92,77726,71.19,76.38,70.36,72.11,72.11,72341,44.5,45.84,43.65,44.36,44.36,40875,65.41,66.27,60.15,63.62,63.62,145763
2024-06-20,96.22,99.14,95.86,98.8,98.8,57164,110.8,114.7,107.12,113.84,113.84,68598,47.8,48.54,45.53,45.77,45.77,195730,72.25,74.27,71.45,74.18,74.18,138785,44.41,45.41,44.01,45.01,45.01,151226,63.82,64.68,59.93,62.0,62.0,102027
2024-06-21,98.7,98.98,96.78,98.22,98.22,130155,113.95,115.24,106.52,108.72,108.72,148915,45.82,46.74,44.8,46.73,46.73,115674,74.43,76.02,74.01,75.87,75.87,48104,45.02,46.77,43.63,45.42,45.42,106977,62.12,65.08,59.62,59.81,59.81,111902
2024-06-22,97.18,98.44,97.09,97.17,97.17,145715,108.43,110.25,105.29,109.85,109.85,112100,46.65,47.44,44.1,47.11,47.11,82302,75.45,77.38,74.17,74.91,74.91,139136,45.13,45.72,44.3,44.74,44.74,114896,59.67,62.02,59.25,62.0,62.0,94677
2024-06-23,97.07,97.32,94.29,96.15,96.15,58200,109.61,114.92,101.02,105.27,105.27,95948,47.26,47.54,43.9,44.35,44.35,174757,74.28,76.94,71.21,76.18,76.18,140688,44.51,45.39,43.71,43.94,43.94,63980,61.69,63.82,60.24,61.21,61.21,169949
2024-06-24,95.59,97.11,93.68,93.71,93.71,121006,105.13,107.76,103.97,105.7,105.7,144206,44.78,44.8,44.28,44.51,44.51,126200,76.69,78.25,74.59,75.83,75.83,198446,43.73,44.77,42.11,43.94,43.94,184280,61.31,63.65,57.69,63.48,63.48,46541
2024-06-25,93.4,97.0,92.69,95.0,95.0,60507,106.27,108.84,106.27,106.93,106.93,15148,44.12,45.37,43.43,44.44,44.44,66945,75.91,76.86,75.58,76.4,76.4,175038,43.77,44.12,41.79,42.26,42.26,143534,63.33,65.16,58.66,58.88,58.88,21012
2024-06-26,94.96,99.43,93.83,96.92,96.92,36493,106.51,109.38,103.41,104.97,104.97,103684,44.39,45.21,43.61,44.72,44.72,38317,76.36,77.87,74.84,75.33,75.33,157529,42.32,42.65,41.47,42.41,42.41,112152,58.91,60.44,58.31,59.05,59.05,134497
2024-06-27,96.25,99.06,94.69,98.29,98.29,33418,105.04,113.04,101.82,108.29,108.29,85400,44.87,45.52,41.94,43.27,43.27,137902,75.61,79.69,74.24,75.7,75.7,134690,42.51,44.94,38.96,44.74,44.74,189951,58.91,60.92,58.47,60.9,60.9,50306
2024-06-28,97.85,99.21,94.33,97.56,97.56,116807,108.78,109.93,106.68,107.73,107.73,40744,43.36,44.08,41.49,42.97,42.97,124775,75.39,77.7,75.28,76.82,76.82,163957,44.7,45.28,39.64,39.74,39.74,128616,60.9,61.1,59.34,59.94,59.94,114981
2024-06-29,97.91,103.23,89.12,100.93,100.93,35201,108.73,110.86,104.79,108.06,108.06,39483,42.8,42.93,41.61,41.64,41.64,104669,77.07,77.37,75.92,76.38,76.38,99436,39.52,40.36,38.8,39.98,39.98,176677,60.09,60.88,58.3,59.27,59.27,142045
2024-06-30,100.9,102.31,95.33,100.52,100.52,23973,107.94,110.15,105.71,108.65,108.65,98010,41.89,41.98,41.68,41.7,41.7,175404,76.28,81.84,74.01,74.26,74.26,19654,39.91,41.45,39.89,40.61,40.61,125358,59.41,63.24,59.24,61.17,61.17,135950
2024-07-01,101.11,101.79,93.31,98.51,98.51,106220,108.69,109.42,108.42,108.9,108.9,91554,41.85,42.0,41.62,41.82,41.82,141897,74.68,84.34,71.81,73.92,73.92,71021,40.5,40.68,40.31,40.58,40.58,27801,60.88,63.07,60.45,60.51,60.51,46736
2024-07-02,98.14,99.83,91.23,93.55,93.55,182394,109.19,115.14,108.46,111.21,111.21,93159,42.04,45.38,40.09,44.53,44.53,79183,73.65,82.06,72.09,75.66,75.66,156751,40.53,41.07,39.25,39.54,39.54,128023,60.33,64.18,59.13,63.48,63.48,185660
2024-07-03,92.3,97.06,91.25,95.28,95.28,144916,110.92,118.43,109.47,114.67,114.67,58682,44.41,45.31,43.41,44.97,44.97,107656,76.03,82.03,74.5,79.91,79.91,178538,39.66,42.23,38.97,41.03,41.03,110889,63.83,64.77,60.13,64.36,64.36,27436
2024-07-04,96.58,96.6,94.27,94.68,94.68,192822,113.46,121.58,111.34,116.52,116.52,151825,45.05,45.06,44.75,44.78,44.78,151115,80.13,80.46,79.04,79.16,79.16,160174,41.47,41.98,40.62,41.58,41.58,58208,63.74,64.05,61.28,64.03,64.03,126542
2024-07-05,94.26,97.93,91.28,92.12,92.12,138803,116.57,122.75,116.53,121.83,121.83,26201,44.66,46.63,44.17,46.01,46.01,90593,79.0,79.27,75.95,76.86,76.86,175873,41.28,42.84,40.12,42.05,42.05,110394,64.05,64.31,62.28,62.83,62.83,159723
2024-07-06,91.86,95.78,90.92,95.2,95.2,162189,121.94,124.93,120.82,123.12,123.12,51225,45.93,46.75,45.92,46.15,46.15,68202,76.85,81.72,72.12,77.99,77.99,158463,42.16,42.21,41.64,41.71,41.71,140002,62.21,65.05,61.25,62.67,62.67,159605
2024-07-07,95.64,98.19,93.33,93.98,93.98,84437,123.59,129.09,121.69,123.08,123.08,115670,46.13,46.98,45.18,45.97,45.97,187827,77.99,78.25,76.08,76.18,76.18,119247,41.1,42.82,40.1,42.42,42.42,11250,63.38,64.63,63.07,63.37,63.37,152316
2024-07-08,94.02,102.08,90.43,95.13,95.13,175798,123.44,129.19,122.93,123.44,123.44,86189,46.01,48.16,42.85,43.73,43.73,88031,76.99,78.37,74.41,76.1,76.1,10160,42.59,42.63,41.67,42.26,42.26,60781,62.74,65.52,61.81,62.98,62.98,148684
2024-07-09,95.59,102.79,92.14,100.99,100.99,77566,122.5,131.86,120.53,122.46,122.46,145634,43.88,47.53,42.31,45.04,45.04,186897,75.69,80.54,75.08,79.84,79.84,66715,42.39,43.4,40.62,41.65,41.65,190889,62.87,67.93,61.6,63.98,63.98,127491
2024-07-10,100.53,106.72,93.33,99.64,99.64,73248,122.35,136.79,120.97,136.22,136.22,74550,45.48,47.7,42.17,46.26,46.26,13261,79.71,79.98,79.41,79.69,79.69,118982,41.56,42.37,41.38,41.89,41.89,56655,63.69,70.68,62.33,66.65,66.65,105693
2024-07-11,99.05,101.86,98.6,99.1,99.1,103461,135.35,136.26,132.68,135.49,135.49,107784,46.24,47.08,43.86,46.06,46.06,128416,79.67,80.59,79.49,79.62,79.62,107836,42.09,43.04,40.51,41.16,41.16,122600,66.4,69.59,65.94,69.44,69.44,166734
2024-07-12,100.26,102.77,96.4,97.05,97.05,114385,135.86,137.58,131.29,134.04,134.04,118386,45.8,46.22,44.55,45.18,45.18,107348,79.57,80.53,76.9,77.22,77.22,197255,40.97,42.37,40.45,41.87,41.87,25198,69.21,69.28,67.81,68.66,68.66,177958
2024-07-13,97.38,100.19,96.51,97.98,97.98,174001,134.48,139.2,125.38,137.06,137.06,109421,44.92,45.64,44.76,45.14,45.14,97669,76.87,83.09,74.16,76.96,76.96,182968,42.05,42.29,41.8,42.02,42.02,143081,68.57,69.02,67.27,67.91,67.91,50712
2024-07-14,97.73,99.72,96.8,97.23,97.23,126181,136.87,141.01,132.34,134.87,134.87,174989,45.19,45.42,44.67,45.02,45.02,92818,76.29,79.81,76.02,79.14,79.14,169161,41.61,44.15,39.77,41.75,41.75,177021,67.9,71.52,64.96,65.79,65.79,12337
2024-07-15,97.49,101.99,96.85,99.38,99.38,187985,135.61,148.59,131.25,147.71,147.71,124615,45.05,46.53,43.82,45.66,45.66,186143,78.47,84.1,76.85,77.57,77.57,172932,42.11,43.5,41.8,41.81,41.81,184427,65.69,70.19,64.73,65.05,65.05,146970
2024-07-16,99.17,101.34,98.87,99.46,99.46,95239,147.88,150.84,138.95,141.61,141.61,27902,45.41,46.23,45.16,45.2,45.2,71525,77.78,84.08,75.98,79.26,79.26,133320,42.0,43.96,41.49,42.11,42.11,27248,64.55,67.85,64.07,66.89,66.89,26022
2024-07-17,99.08,103.6,97.92,100.46,100.46,125200,142.0,144.84,141.0,141.73,141.73,21699,45.44,45.96,45.07,45.11,45.11,90165,78.77,86.43,78.13,84.59,84.59,130534,42.12,43.74,41.35,41.86,41.86,28102,67.03,68.75,66.66,66.69,66.69,67339
2024-07-18,100.32,105.72,99.55,101.64,101.64,152648,142.76,143.95,140.48,143.27,143.27,19445,45.05,45.37,44.24,44.71,44.71,82301,85.0,88.37,82.03,87.97,87.97,83762,41.67,45.55,39.04,42.72,42.72,27114,67.17,70.63,66.64,68.37,68.37,165311
2024-07-19,102.07,105.88,96.74,96.9,96.9,10324,144.34,146.65,133.22,133.62,133.62,112047,44.78,45.23,44.39,45.13,45.13,165925,88.7,90.05,83.97,89.75,89.75,70197,42.9,43.0,42.86,42.97,42.97,189943,68.31,71.75,67.96,69.71,69.71,39365
2024-07-20,96.77,104.4,94.76,98.56,98.56,19982,133.35,141.39,131.13,139.55,139.55,169531,45.37,46.83,40.82,42.37,42.37,120978,89.22,90.71,81.76,88.21,88.21,155343,43.03,43.86,42.9,42.98,42.98,110180,69.67,72.43,69.53,69.79,69.79,102854
2024-07-21,98.49,100.44,95.71,100.21,100.21,129330,139.78,144.16,133.71,136.41,136.41,121456,41.99,42.68,40.65,42.02,42.02,124643,88.13,93.62,80.23,80.86,80.86,55408,42.73,44.95,40.57,40.97,40.97,27824,69.87,73.22,67.5,69.82,69.82,179998
2024-07-22,99.49,99.52,98.65,98.78,98.78,21608,136.16,140.31,132.3,134.75,134.75,101864,42.12,42.87,41.48,42.45,42.45,162180,80.3,92.76,73.28,91.83,91.83,19744,41.18,43.89,39.86,42.34,42.34,183287,69.71,71.02,68.85,70.73,70.73,92638
2024-07-23,98.93,100.36,98.44,98.44,98.44,126496,134.57,140.72,129.6,136.86,136.86,129234,42.66,43.02,41.7,42.96,42.96,186069,92.03,96.0,91.31,95.59,95.59,95057,42.45,44.05,41.3,43.56,43.56,97307,70.74,75.7,67.0,70.18,70.18,164361
2024-07-24,99.35,102.0,99.08,99.51,99.51,96060,136.6,140.52,131.88,134.49,134.49,144609,42.83,42.87,40.85,42.8,42.8,120937,96.06,99.8,91.42,95.08,95.08,73239,43.9,43.98,42.0,42.3,42.3,191129,70.55,73.2,69.59,69.75,69.75,159917
2024-07-25,99.62,101.86,99.0,100.19,100.19,190207,134.85,140.04,129.71,134.29,134.29,88482,42.9,45.14,38.28,40.37,40.37,35417,95.25,96.87,92.42,93.56,93.56,155044,42.24,43.36,39.26,41.2,41.2,45828,69.69,71.3,68.53,69.38,69.38,52069
2024-07-26,100.32,102.45,99.2,101.72,101.72,168523,134.34,135.0,131.8,132.78,132.78,173181,40.51,40.93,38.96,40.62,40.62,188151,93.76,96.7,93.62,95.71,95.71,85410,41.15,44.32,39.88,42.41,42.41,49139,69.92,70.56,67.39,68.1,68.1,199530
2024-07-27,101.6,104.34,99.19,103.53,103.53,111860,133.91,134.34,128.31,134.16,134.16,89579,41.01,41.34,38.51,40.7,40.7,114761,96.19,98.74,94.4,96.67,96.67,177379,42.84,43.1,41.75,42.41,42.41,89701,67.8,69.21,65.93,66.84,66.84,48516
2024-07-28,102.83,105.07,101.9,104.28,104.28,174490,134.49,138.12,124.65,131.22,131.22,188469,40.75,40.83,40.11,40.16,40.16,143462,96.34,98.51,93.71,96.89,96.89,181942,42.35,42.8,41.3,41.56,41.56,158521,66.93,69.4,65.73,67.85,67.85,30235
2024-07-29,104.57,104.64,103.87,103.95,103.95,176020,130.31,130.7,127.52,130.67,130.67,43370,39.47,40.98,38.48,40.22,40.22,106493,96.52,98.6,95.05,96.76,96.76,188920,41.63,44.76,40.34,41.96,41.96,73047,67.03,70.91,65.68,66.62,66.62,167306
2024-07-30,104.03,104.21,103.02,103.74,103.74,53960,130.54,136.25,125.82,133.67,133.67,91589,39.98,40.81,39.81,40.79,40.79,103030,96.61,97.37,91.74,94.38,94.38,26367,41.88,42.93,41.18,42.62,42.62,50987,67.41,70.51,66.67,69.45,69.45,199628
2024-07-31,103.31,107.71,100.92,103.0,103.0,172711,133.18,135.05,126.4,127.75,127.75,16757,40.84,41.57,39.28,41.02,41.02,117812,94.31,95.57,91.45,91.65,91.65,106391,42.59,43.59,42.05,42.42,42.42,53429,69.52,73.17,68.21,70.86,70.86,40236
2024-08-01,103.11,104.4,102.39,102.8,102.8,21415,127.38,136.73,121.38,127.65,127.65,25354,40.88,42.51,40.14,40.31,40.31,123560,91.24,94.32,89.09,94.12,94.12,151020,42.63,44.41,41.39,41.82,41.82,128263,70.56,75.01,69.8,71.3,71.3,131959
2024-08-02,102.3,106.41,99.03,100.02,100.02,38495,127.6,130.28,126.38,129.09,129.09,146960,40.21,42.76,40.08,41.49,41.49,160504,93.63,95.31,92.72,93.78,93.78,74306,42.02,43.23,41.45,42.92,42.92,33737,71.56,75.61,71.46,74.09,74.09,117285
2024-08-03,100.19,105.76,97.76,99.26,99.26,60835,129.33,129.44,125.77,127.44,127.44,121237,41.75,43.03,41.56,41.9,41.9,112949,93.39,95.98,91.19,91.9,91.9,181100,42.77,42.98,42.45,42.62,42.62,151935,74.19,79.07,73.4,75.85,75.85,50179
2024-08-04,98.88,103.94,98.3,100.16,100.16,85059,127.39,133.15,114.97,129.56,129.56,106839,41.84,43.69,41.44,41.8,41.8,112992,91.74,95.09,88.01,88.95,88.95,195403,41.95,44.86,40.04,40.48,40.48,105948,75.9,81.02,73.58,75.13,75.13,102187
2024-08-05,100.63,101.39,99.04,101.14,101.14,10612,130.25,132.17,122.56,122.68,122.68,163769,41.29,45.29,40.05,45.18,45.18,44921,89.0,89.58,88.86,89.16,89.16,199700,40.5,44.92,39.92,44.66,44.66,144474,75.22,78.81,74.79,76.8,76.8,63008
2024-08-06,100.69,102.15,97.87,101.1,101.1,184316,123.45,126.27,122.18,123.1,123.1,48260,44.92,45.9,42.99,44.05,44.05,131786,88.59,94.45,86.72,91.03,91.03,17196,44.57,46.86,42.05,44.88,44.88,72114,76.98,78.47,76.57,78.18,78.18,43926
2024-08-07,101.69,107.26,100.81,106.48,106.48,186198,123.28,125.83,118.24,118.54,118.54,194853,43.84,47.38,41.77,42.06,42.06,46977,90.42,93.36,88.99,90.67,90.67,69751,44.91,46.43,41.89,44.52,44.52,175758,78.26,81.52,73.41,81.13,81.13,116576
2024-08-08,106.77,108.66,102.2,107.58,107.58,170855,119.06,120.63,115.91,115.93,115.93,174592,41.84,44.07,40.95,43.17,43.17,146736,90.84,93.88,87.51,92.21,92.21,50161,44.82,45.04,41.41,44.25,44.25,56909,81.39,83.39,72.84,78.78,78.78,151799
2024-08-09,107.8,109.33,101.39,107.58,107.58,119021,115.4,123.09,114.91,116.39,116.39,152856,43.3,43.59,43.21,43.59,43.59,33000,91.94,93.51,90.28,91.64,91.64,91646,44.43,44.59,42.51,43.4,43.4,93076,79.04,79.69,77.03,78.19,78.19,141004
2024-08-10,106.95,111.49,103.13,103.36,103.36,196760,115.82,125.79,114.75,124.01,124.01,127124,43.43,43.77,41.28,41.68,41.68,162125,91.35,93.87,86.64,89.66,89.66,199619,43.46,45.01,40.57,44.4,44.4,134616,77.26,79.34,76.44,77.11,77.11,14058
2024-08-11,103.23,103.36,102.41,103.11,103.11,26150,123.54,128.83,116.83,128.41,128.41,160546,41.9,42.14,40.36,42.07,42.07,82822,89.93,90.54,88.38,89.64,89.64,94401,44.08,44.63,39.67,41.27,41.27,193921,77.16,78.12,75.89,76.39,76.39,56470
2024-08-12,102.69,104.0,101.97,103.58,103.58,144486,128.18,131.18,121.4,122.28,122.28,84922,41.87,41.9,41.04,41.63,41.63,86834,89.68,90.15,85.15,87.08,87.08,96223,41.09,41.75,40.77,41.51,41.51,37555,76.69,77.3,74.86,75.85,75.85,82902
2024-08-13,104.12,109.77,99.17,102.26,102.26,71888,122.62,128.05,122.03,123.13,123.13,160911,41.54,42.75,40.33,41.73,41.73,150124,87.19,88.58,83.44,88.26,88.26,25767,41.47,41.84,40.0,41.12,41.12,171078,75.84,78.13,72.37,73.51,73.51,163650
2024-08-14,102.27,109.05,100.8,108.46,108.46,98256,123.14,125.76,121.8,123.39,123.39,189714,41.75,42.55,39.83,40.03,40.03,113022,88.32,89.68,83.26,85.54,85.54,125648,41.12,41.3,39.82,40.85,40.85,111217,73.45,74.66,72.59,74.22,74.22,59826
2024-08-15,108.7,111.39,102.31,103.97,103.97,177791,122.66,124.65,119.38,123.74,123.74,102390,39.83,40.46,39.32,40.23,40.23,96962,85.21,86.05,82.02,83.04,83.04,13974,40.7,40.75,40.48,40.64,40.64,85249,74.45,75.02,72.92,73.51,73.51,121861
2024-08-16,103.98,107.43,102.19,104.36,104.36,144196,124.82,126.32,118.94,119.01,119.01,151145,40.3,40.84,40.2,40.29,40.29,54535,82.79,83.52,80.63,83.36,83.36,153252,40.69,42.07,38.29,41.16,41.16,144695,73.79,76.15,71.93,72.97,72.97,33051
2024-08-17,105.07,107.21,101.27,103.68,103.68,105217,118.84,124.8,117.59,121.39,121.39,128835,40.55,42.23,38.38,39.56,39.56,133959,83.26,85.41,80.1,84.71,84.71,177679,41.33,41.82,38.25,41.45,41.45,63057,72.7,77.82,69.22,74.65,74.65,77827
2024-08-18,103.69,103.87,101.96,103.68,103.68,70220,121.69,122.11,115.95,120.49,120.49,86971,39.8,40.23,39.73,40.13,40.13,67221,84.94,85.38,77.72,79.13,79.13,103993,41.24,41.79,36.52,36.69,36.69,10492,74.42,78.7,72.44,74.46,74.46,109410
2024-08-19,104.29,106.97,99.93,106.81,106.81,126794,121.48,125.13,115.55,125.05,125.05,71317,39.97,40.44,39.56,40.25,40.25,177224,79.2,79.38,77.13,78.1,78.1,193701,36.47,36.98,36.45,36.63,36.63,92122,74.8,77.38,74.4,75.09,75.09,131669
2024-08-20,106.35,106.8,102.28,102.84,102.84,34634,124.72,125.56,115.51,123.83,123.83,20058,40.35,40.51,38.45,39.08,39.08,68781,77.76,77.9,75.88,76.36,76.36,144604,36.78,37.36,35.71,35.96,35.96,182544,75.35,76.3,73.81,75.67,75.67,58070
2024-08-21,103.23,105.54,100.86,100.97,100.97,67203,124.48,125.57,114.58,121.99,121.99,40484,39.2,40.0,37.28,39.07,39.07,174301,76.27,77.78,75.58,76.07,76.07,139215,35.77,35.81,35.67,35.69,35.69,79423,75.72,77.53,75.41,75.71,75.71,93636
2024-08-22,101.35,104.4,100.18,103.85,103.85,41201,121.66,123.08,113.16,113.31,113.31,28889,39.15,39.67,36.48,38.88,38.88,175919,76.1,76.47,74.5,76.26,76.26,90905,35.64,35.86,34.47,35.73,35.73,123377,75.85,86.68,69.6,85.76,85.76,173207
2024-08-23,103.71,106.88,100.18,105.93,105.93,145419,112.48,115.8,112.11,114.24,114.24,156375,38.98,39.4,36.62,36.96,36.96,80595,75.96,77.79,71.61,77.77,77.77,86388,35.81,36.04,35.64,35.73,35.73,135486,84.99,86.09,79.45,85.83,85.83,199305
2024-08-24,105.41,106.61,103.34,104.8,104.8,97621,114.98,115.86,112.87,113.73,113.73,50297,36.92,37.81,36.44,37.02,37.02,62641,78.14,78.54,74.14,74.55,74.55,190020,35.82,36.54,35.11,36.41,36.41,68677,85.98,88.77,76.56,87.29,87.29,97849
2024-08-25,104.68,109.12,98.8,104.57,104.57,89221,113.29,118.62,112.59,116.15,116.15,28436,37.08,38.44,34.8,35.97,35.97,157774,74.52,75.74,72.89,75.27,75.27,107757,36.41,36.49,34.77,35.2,35.2,89679,87.43,91.16,78.44,84.02,84.02,158326
2024-08-26,104.01,104.25,102.4,102.53,102.53,146771,116.25,124.03,114.31,122.49,122.49,128430,36.03,37.14,34.94,36.55,36.55,76796,75.36,77.4,69.58,72.53,72.53,115900,34.99,36.42,34.85,35.48,35.48,194939,83.91,85.92,78.96,81.78,81.78,19042
2024-08-27,102.19,102.55,99.73,101.2,101.2,55432,121.79,126.42,112.17,120.94,120.94,170883,36.68,36.73,34.77,36.45,36.45,55661,72.43,75.64,69.12,74.58,74.58,186992,35.82,36.22,34.98,35.37,35.37,193940,81.66,82.23,79.8,80.07,80.07,197619
2024-08-28,101.97,105.92,96.25,99.14,99.14,176512,120.31,124.18,113.59,124.14,124.14,51344,36.67,37.32,33.39,33.71,33.71,66828,74.76,75.64,68.53,71.0,71.0,141727,35.33,37.19,33.91,36.45,36.45,155516,79.94,83.33,79.4,83.15,83.15,153043
2024-08-29,99.12,100.1,95.49,96.68,96.68,47211,124.06,126.89,116.95,118.89,118.89,122256,33.62,37.33,32.73,36.66,36.66,51901,71.59,71.68,68.6,69.8,69.8,184768,36.3,36.52,35.17,35.57,35.57,19763,83.27,85.43,81.46,83.77,83.77,102291
2024-08-30,95.81,100.48,94.07,98.2,98.2,53333,118.51,119.68,116.79,118.38,118.38,44452,37.0,38.28,35.78,36.43,36.43,32506,69.75,69.76,68.39,69.55,69.55,99515,35.56,36.11,35.15,35.6,35.6,110885,83.23,87.57,81.17,82.82,82.82,56421
2024-08-31,98.3,100.44,97.64,98.35,98.35,77994,118.61,120.21,114.66,119.24,119.24,22864,36.52,37.9,34.81,35.81,35.81,112142,69.17,73.05,66.93,71.82,71.82,60021,35.35,35.49,34.44,34.53,34.53,118948,82.56,87.4,81.03,81.29,81.29,58667
2024-09-01,98.24,98.5,96.26,96.8,96.8,127063,118.47,118.87,115.96,118.51,118.51,156982,35.95,37.66,35.54,35.61,35.61,120368,72.35,73.5,70.74,71.89,71.89,11058,34.64,35.94,33.84,35.21,35.21,61610,80.66,88.97,79.31,79.91,79.91,157451
2024-09-02,96.62,100.71,94.87,98.63,98.63,167989,118.99,119.43,116.4,118.77,118.77,49407,35.67,38.49,35.04,38.24,38.24,141512,71.51,76.26,69.52,70.77,70.77,83528,34.99,37.0,32.57,35.67,35.67,153411,79.73,87.48,77.79,84.64,84.64,155821
2024-09-03,98.6,101.58,96.51,97.11,97.11,196496,118.41,124.24,116.23,120.66,120.66,58784,38.14,39.35,35.06,36.47,36.47,93543,71.26,75.19,70.21,74.91,74.91,74630,35.75,36.07,35.4,35.57,35.57,105770,84.64,90.65,82.12,83.4,83.4,55035
2024-09-04,97.12,101.19,93.17,100.27,100.27,23775,120.12,125.53,117.94,118.03,118.03,110199,36.61,36.94,35.2,35.31,35.31,173883,74.65,74.78,73.37,73.7,73.7,34354,36.01,36.51,34.73,35.21,35.21,81272,83.55,93.63,81.65,91.44,91.44,30835
2024-09-05,101.41,103.6,96.33,102.03,102.03,167185,118.63,129.08,115.6,117.8,117.8,123084,35.36,35.63,34.17,34.74,34.74,14245,74.36,74.65,71.85,73.86,73.86,97322,34.98,35.34,34.95,34.96,34.96,194739,90.77,95.16,88.57,91.22,91.22,121106
2024-09-06,101.06,104.5,95.43,99.35,99.35,134682,117.53,127.79,115.41,127.75,127.75,196911,34.85,35.99,32.25,34.31,34.31,109306,73.67,74.31,70.42,72.85,72.85,185998,34.79,34.87,34.76,34.77,34.77,129358,91.44,95.44,91.31,95.24,95.24,190465
2024-09-07,99.46,100.22,98.03,98.21,98.21,143882,126.64,133.94,119.56,131.1,131.1,195078,34.55,35.18,31.48,34.22,34.22,107677,73.15,75.22,70.93,72.46,72.46,62259,34.7,35.06,33.11,33.65,33.65,198749,95.69,96.96,94.84,95.77,95.77,44779
2024-09-08,99.1,100.58,94.82,94.96,94.96,173062,131.16,134.22,120.41,130.07,130.07,81846,34.0,34.82,33.41,34.76,34.76,103097,72.63,76.05,71.74,72.93,72.93,91811,34.01,34.45,33.92,34.12,34.12,72438,96.13,98.29,92.19,96.5,96.5,196936
2024-09-09,95.0,99.09,91.85,92.17,92.17,106557,130.94,133.7,123.93,124.1,124.1,189603,34.75,34.9,34.68,34.69,34.69,97889,72.61,76.99,69.72,72.89,72.89,46167,33.85,35.74,33.56,34.11,34.11,20342,96.1,96.84,92.98,96.15,96.15,82236
2024-09-10,92.56,99.39,92.33,97.32,97.32,66819,123.97,128.29,122.99,127.14,127.14,89158,34.52,37.63,33.8,35.16,35.16,52216,73.81,76.56,72.99,75.32,75.32,132628,34.26,34.95,34.06,34.09,34.09,81750,96.38,97.64,92.98,96.9,96.9,199522
2024-09-11,97.44,98.58,97.29,97.97,97.97,119412,125.93,127.25,123.72,126.93,126.93,135711,35.15,37.1,34.78,36.0,36.0,100227,75.55,77.27,72.82,73.6,73.6,132320,34.14,35.63,33.62,35.27,35.27,24761,96.84,98.25,96.34,96.57,96.57,108073
2024-09-12,98.28,102.03,98.22,101.31,101.31,111791,125.88,129.21,117.82,128.78,128.78,177251,36.13,37.17,36.12,36.47,36.47,88795,73.87,76.73,73.54,76.46,76.46,160614,35.48,35.74,34.92,35.62,35.62,144414,96.47,100.38,95.2,95.72,95.72,42105
2024-09-13,101.6,104.38,95.19,96.51,96.51,80373,128.47,130.98,117.94,124.82,124.82,147790,36.69,39.76,35.91,37.12,37.12,185948,75.41,77.77,73.0,74.24,74.24,79336,35.6,35.88,35.54,35.78,35.78,10507,95.94,96.87,95.71,96.36,96.36,129052
2024-09-14,96.19,100.83,91.22,94.53,94.53,186560,124.52,125.99,117.48,121.8,121.8,92328,36.82,39.43,36.23,37.12,37.12,121846,73.27,73.93,73.15,73.44,73.44,174941,35.66,37.98,35.18,37.39,37.39,50837,96.09,103.12,92.93,100.11,100.11,84721
2024-09-15,94.47,101.76,90.91,100.08,100.08,46070,123.01,127.33,116.77,118.14,118.14,35357,37.06,38.2,37.02,37.92,37.92,85481,73.06,77.19,71.75,74.64,74.64,198446,37.73,38.3,35.88,37.28,37.28,112860,99.92,101.09,97.53,97.97,97.97,96988
2024-09-16,100.11,100.95,94.63,95.15,95.15,84072,117.67,121.35,116.05,117.46,117.46,76222,38.04,38.78,36.24,37.56,37.56,124898,74.46,75.89,73.53,74.92,74.92,163334,37.3,38.0,36.39,37.28,37.28,81844,97.7,101.59,91.21,97.34,97.34,29389
2024-09-17,94.82,102.86,91.44,96.31,96.31,25916,117.74,121.89,115.31,116.63,116.63,92129,37.66,37.77,35.44,37.34,37.34,50607,75.52,75.68,75.07,75.1,75.1,64678,37.41,37.89,36.03,36.56,36.56,199971,97.4,97.41,95.79,97.06,97.06,144635
2024-09-18,96.52,101.57,91.67,99.22,99.22,106042,116.98,117.74,115.61,116.19,116.19,133651,37.23,37.89,35.61,35.74,35.74,196107,75.02,75.42,73.33,73.59,73.59,85629,36.66,37.09,36.58,36.75,36.75,168280,98.04,102.21,91.92,94.61,94.61,119162
